hop 0: m11 t=216.748 -> 214.215 best=215.948 fresh=True
hop 1: m11 t=215.015 -> 214.215 best=214.215 fresh=False
hop 1: m17 t=215.016 -> 208.917 best=214.215 fresh=True
hop 2: m11 t=209.718 -> 208.917 best=208.917 fresh=True
hop 2: m17 t=209.719 -> 208.917 best=208.917 fresh=True
hop 2: m17 t=209.720 -> 207.352 best=208.917 fresh=True
hop 3: m11 t=208.155 -> 207.352 best=207.352 fresh=True
hop 3: m17 t=208.156 -> 205.730 best=207.352 fresh=True
hop 4: m11 t=206.534 -> 205.730 best=205.730 fresh=True
hop 4: m17 t=206.535 -> 196.494 best=205.730 fresh=True
hop 5: m11 t=197.299 -> 196.494 best=196.494 fresh=False
hop 5: m17 t=197.300 -> 196.494 best=196.494 fresh=False
hop 5: m17 t=197.301 -> 196.494 best=196.494 fresh=False
hop 5: m17 t=197.302 -> 196.494 best=196.494 fresh=True
hop 5: m17 t=197.303 -> 196.494 best=196.494 fresh=True
hop 5: m17 t=197.304 -> 196.494 best=196.494 fresh=True
hop 5: m17 t=197.305 -> 196.494 best=196.494 fresh=True
hop 5: m17 t=197.306 -> 196.494 best=196.494 fresh=False
hop 5: m17 t=197.307 -> 196.494 best=196.494 fresh=False
hop 5: m17 t=197.308 -> 196.494 best=196.494 fresh=True
CONSTRUCTED START: 215.948 BEST: 196.494 YIELD: 19.454
