hop 0: m11 t=216.625 -> 215.771 best=215.825 fresh=True
hop 1: m11 t=216.571 -> 215.771 best=215.771 fresh=False
hop 1: m17 t=216.572 -> 215.734 best=215.771 fresh=True
hop 2: m11 t=216.535 -> 215.734 best=215.734 fresh=False
hop 2: m17 t=216.536 -> 215.260 best=215.734 fresh=True
hop 3: m11 t=216.062 -> 215.260 best=215.260 fresh=True
hop 3: m17 t=216.063 -> 210.619 best=215.260 fresh=True
hop 4: m11 t=211.422 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.423 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.424 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.425 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.426 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.427 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.428 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.429 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.430 -> 210.619 best=210.619 fresh=True
hop 4: m17 t=211.431 -> 210.619 best=210.619 fresh=True
CONSTRUCTED START: 215.825 BEST: 210.619 YIELD: 5.206
