hop 0: m11 t=214.459 -> 210.070 best=213.659 fresh=True
hop 1: m11 t=210.870 -> 210.070 best=210.070 fresh=False
hop 1: m17 t=210.871 -> 204.912 best=210.070 fresh=True
hop 2: m11 t=205.713 -> 204.912 best=204.912 fresh=False
hop 2: m17 t=205.714 -> 204.912 best=204.912 fresh=True
hop 2: m17 t=205.715 -> 204.912 best=204.912 fresh=True
hop 2: m17 t=205.716 -> 204.912 best=204.912 fresh=True
hop 2: m17 t=205.717 -> 204.912 best=204.912 fresh=True
hop 2: m17 t=205.718 -> 204.912 best=204.912 fresh=True
hop 2: m17 t=205.719 -> 204.912 best=204.912 fresh=True
hop 2: m17 t=205.720 -> 204.912 best=204.912 fresh=True
hop 2: m17 t=205.721 -> 204.912 best=204.912 fresh=True
hop 2: m17 t=205.722 -> 204.912 best=204.912 fresh=True
CONSTRUCTED START: 213.659 BEST: 204.912 YIELD: 8.747
