hop 0: m11 t=216.168 -> 215.267 best=215.368 fresh=True
hop 1: m11 t=216.067 -> 215.267 best=215.267 fresh=False
hop 1: m17 t=216.068 -> 214.068 best=215.267 fresh=True
hop 2: m11 t=214.869 -> 214.068 best=214.068 fresh=True
hop 2: m17 t=214.870 -> 214.068 best=214.068 fresh=True
hop 2: m17 t=214.871 -> 214.068 best=214.068 fresh=True
hop 2: m17 t=214.872 -> 208.832 best=214.068 fresh=True
hop 3: m11 t=209.636 -> 208.832 best=208.832 fresh=True
hop 3: m17 t=209.637 -> 208.832 best=208.832 fresh=True
hop 3: m17 t=209.638 -> 208.832 best=208.832 fresh=True
hop 3: m17 t=209.639 -> 208.832 best=208.832 fresh=True
hop 3: m17 t=209.640 -> 208.832 best=208.832 fresh=True
hop 3: m17 t=209.641 -> 208.832 best=208.832 fresh=True
hop 3: m17 t=209.642 -> 208.832 best=208.832 fresh=True
hop 3: m17 t=209.643 -> 195.270 best=208.832 fresh=True
hop 4: m11 t=196.081 -> 195.270 best=195.270 fresh=False
hop 4: m17 t=196.082 -> 195.270 best=195.270 fresh=True
hop 4: m17 t=196.083 -> 195.270 best=195.270 fresh=True
hop 4: m17 t=196.084 -> 195.270 best=195.270 fresh=False
hop 4: m17 t=196.085 -> 195.270 best=195.270 fresh=False
hop 4: m17 t=196.086 -> 195.270 best=195.270 fresh=False
hop 4: m17 t=196.087 -> 195.270 best=195.270 fresh=True
hop 4: m17 t=196.088 -> 195.270 best=195.270 fresh=False
hop 4: m17 t=196.089 -> 195.270 best=195.270 fresh=False
hop 4: m17 t=196.090 -> 195.260 best=195.270 fresh=True
hop 5: m11 t=196.080 -> 195.260 best=195.260 fresh=False
hop 5: m17 t=196.081 -> 195.260 best=195.260 fresh=False
hop 5: m17 t=196.082 -> 195.260 best=195.260 fresh=False
hop 5: m17 t=196.083 -> 195.260 best=195.260 fresh=False
hop 5: m17 t=196.084 -> 195.260 best=195.260 fresh=False
hop 5: m17 t=196.085 -> 195.260 best=195.260 fresh=False
hop 5: m17 t=196.086 -> 195.260 best=195.260 fresh=True
hop 5: m17 t=196.087 -> 195.260 best=195.260 fresh=False
hop 5: m17 t=196.088 -> 195.260 best=195.260 fresh=True
hop 5: m17 t=196.089 -> 195.260 best=195.260 fresh=True
CONSTRUCTED START: 215.368 BEST: 195.260 YIELD: 20.108
