hop 0: m11 t=218.642 -> 217.684 best=217.842 fresh=True
hop 1: m11 t=218.484 -> 217.684 best=217.684 fresh=False
hop 1: m17 t=218.485 -> 198.757 best=217.684 fresh=True
hop 2: m11 t=199.558 -> 198.757 best=198.757 fresh=False
hop 2: m17 t=199.559 -> 197.873 best=198.757 fresh=True
hop 3: m11 t=198.675 -> 197.873 best=197.873 fresh=False
hop 3: m17 t=198.676 -> 197.873 best=197.873 fresh=True
hop 3: m17 t=198.677 -> 197.873 best=197.873 fresh=True
hop 3: m17 t=198.678 -> 197.873 best=197.873 fresh=True
hop 3: m17 t=198.679 -> 197.873 best=197.873 fresh=True
hop 3: m17 t=198.680 -> 197.196 best=197.873 fresh=True
hop 4: m11 t=198.003 -> 197.196 best=197.196 fresh=False
hop 4: m17 t=198.004 -> 197.196 best=197.196 fresh=True
hop 4: m17 t=198.005 -> 197.196 best=197.196 fresh=True
hop 4: m17 t=198.006 -> 197.196 best=197.196 fresh=True
hop 4: m17 t=198.007 -> 197.196 best=197.196 fresh=True
hop 4: m17 t=198.008 -> 197.196 best=197.196 fresh=True
hop 4: m17 t=198.009 -> 197.196 best=197.196 fresh=True
hop 4: m17 t=198.010 -> 194.556 best=197.196 fresh=True
hop 5: m11 t=195.370 -> 194.556 best=194.556 fresh=False
hop 5: m17 t=195.371 -> 194.556 best=194.556 fresh=False
hop 5: m17 t=195.372 -> 194.556 best=194.556 fresh=False
hop 5: m17 t=195.373 -> 194.556 best=194.556 fresh=False
hop 5: m17 t=195.374 -> 194.556 best=194.556 fresh=True
hop 5: m17 t=195.375 -> 194.556 best=194.556 fresh=False
hop 5: m17 t=195.376 -> 194.556 best=194.556 fresh=False
hop 5: m17 t=195.377 -> 194.556 best=194.556 fresh=False
hop 5: m17 t=195.378 -> 194.556 best=194.556 fresh=True
hop 5: m17 t=195.379 -> 194.556 best=194.556 fresh=False
CONSTRUCTED START: 217.842 BEST: 194.556 YIELD: 23.286
