hop 0: m11 t=198.808 -> 197.874 best=198.008 fresh=True
hop 1: m11 t=198.674 -> 197.874 best=197.874 fresh=False
hop 1: m17 t=198.675 -> 194.010 best=197.874 fresh=True
hop 2: m11 t=194.811 -> 194.010 best=194.010 fresh=False
hop 2: m17 t=194.812 -> 189.386 best=194.010 fresh=True
hop 3: m11 t=190.188 -> 189.386 best=189.386 fresh=False
hop 3: m17 t=190.189 -> 188.748 best=189.386 fresh=True
hop 4: m11 t=189.551 -> 188.748 best=188.748 fresh=False
hop 4: m17 t=189.552 -> 188.432 best=188.748 fresh=True
hop 5: m11 t=189.236 -> 188.432 best=188.432 fresh=False
hop 5: m17 t=189.237 -> 188.432 best=188.432 fresh=True
hop 5: m17 t=189.238 -> 188.432 best=188.432 fresh=True
hop 5: m17 t=189.239 -> 188.432 best=188.432 fresh=False
hop 5: m17 t=189.240 -> 188.432 best=188.432 fresh=False
hop 5: m17 t=189.241 -> 188.432 best=188.432 fresh=False
hop 5: m17 t=189.242 -> 188.432 best=188.432 fresh=False
hop 5: m17 t=189.243 -> 188.432 best=188.432 fresh=False
hop 5: m17 t=189.244 -> 188.432 best=188.432 fresh=True
hop 5: m17 t=189.245 -> 188.432 best=188.432 fresh=True
CONSTRUCTED START: 198.008 BEST: 188.432 YIELD: 9.576
