hop 0: m11 t=199.591 -> 198.704 best=198.791 fresh=True
hop 1: m11 t=199.504 -> 198.704 best=198.704 fresh=False
hop 1: m17 t=199.505 -> 197.053 best=198.704 fresh=True
hop 2: m11 t=197.854 -> 197.053 best=197.053 fresh=True
hop 2: m17 t=197.855 -> 197.053 best=197.053 fresh=True
hop 2: m17 t=197.856 -> 196.113 best=197.053 fresh=True
hop 3: m11 t=196.916 -> 196.113 best=196.113 fresh=True
hop 3: m17 t=196.917 -> 196.113 best=196.113 fresh=True
hop 3: m17 t=196.918 -> 196.113 best=196.113 fresh=True
hop 3: m17 t=196.919 -> 194.010 best=196.113 fresh=True
hop 4: m11 t=194.816 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.817 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.818 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.819 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.820 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.821 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.822 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.823 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.824 -> 194.010 best=194.010 fresh=True
hop 4: m17 t=194.825 -> 194.010 best=194.010 fresh=True
CONSTRUCTED START: 198.791 BEST: 194.010 YIELD: 4.781
