hop 0: m11 t=202.123 -> 201.236 best=201.323 fresh=True
hop 1: m11 t=202.036 -> 201.236 best=201.236 fresh=False
hop 1: m17 t=202.037 -> 200.372 best=201.236 fresh=True
hop 2: m11 t=201.173 -> 200.372 best=200.372 fresh=True
hop 2: m17 t=201.174 -> 200.372 best=200.372 fresh=True
hop 2: m17 t=201.175 -> 194.010 best=200.372 fresh=True
hop 3: m11 t=194.813 -> 194.010 best=194.010 fresh=False
hop 3: m17 t=194.814 -> 194.010 best=194.010 fresh=True
hop 3: m17 t=194.815 -> 194.010 best=194.010 fresh=True
hop 3: m17 t=194.816 -> 194.010 best=194.010 fresh=True
hop 3: m17 t=194.817 -> 194.010 best=194.010 fresh=True
hop 3: m17 t=194.818 -> 194.010 best=194.010 fresh=True
hop 3: m17 t=194.819 -> 194.010 best=194.010 fresh=True
hop 3: m17 t=194.820 -> 194.010 best=194.010 fresh=True
hop 3: m17 t=194.821 -> 194.010 best=194.010 fresh=True
hop 3: m17 t=194.822 -> 194.010 best=194.010 fresh=True
CONSTRUCTED START: 201.323 BEST: 194.010 YIELD: 7.313
