hop 0: m11 t=207.529 -> 206.647 best=206.729 fresh=True
hop 1: m11 t=207.447 -> 206.647 best=206.647 fresh=False
hop 1: m17 t=207.448 -> 201.963 best=206.647 fresh=True
hop 2: m11 t=202.764 -> 201.963 best=201.963 fresh=True
hop 2: m17 t=202.765 -> 201.963 best=201.963 fresh=True
hop 2: m17 t=202.766 -> 201.963 best=201.963 fresh=True
hop 2: m17 t=202.767 -> 201.963 best=201.963 fresh=True
hop 2: m17 t=202.768 -> 201.963 best=201.963 fresh=True
hop 2: m17 t=202.769 -> 197.491 best=201.963 fresh=True
hop 3: m11 t=198.297 -> 197.491 best=197.491 fresh=True
hop 3: m17 t=198.298 -> 197.239 best=197.491 fresh=True
hop 4: m11 t=198.046 -> 197.239 best=197.239 fresh=False
hop 4: m17 t=198.047 -> 197.239 best=197.239 fresh=True
hop 4: m17 t=198.048 -> 197.239 best=197.239 fresh=True
hop 4: m17 t=198.049 -> 197.239 best=197.239 fresh=True
hop 4: m17 t=198.050 -> 197.239 best=197.239 fresh=True
hop 4: m17 t=198.051 -> 193.422 best=197.239 fresh=True
hop 5: m11 t=194.234 -> 193.422 best=193.422 fresh=False
hop 5: m17 t=194.235 -> 193.422 best=193.422 fresh=True
hop 5: m17 t=194.236 -> 193.422 best=193.422 fresh=True
hop 5: m17 t=194.237 -> 193.422 best=193.422 fresh=True
hop 5: m17 t=194.238 -> 193.422 best=193.422 fresh=True
hop 5: m17 t=194.239 -> 193.422 best=193.422 fresh=True
hop 5: m17 t=194.240 -> 193.422 best=193.422 fresh=True
hop 5: m17 t=194.241 -> 193.422 best=193.422 fresh=True
hop 5: m17 t=194.242 -> 193.422 best=193.422 fresh=True
hop 5: m17 t=194.243 -> 193.422 best=193.422 fresh=False
CONSTRUCTED START: 206.729 BEST: 193.422 YIELD: 13.307
