hop 0: m11 t=210.710 -> 209.783 best=209.910 fresh=True
hop 1: m11 t=210.583 -> 209.783 best=209.783 fresh=False
hop 1: m17 t=210.584 -> 206.647 best=209.783 fresh=True
hop 2: m11 t=207.448 -> 206.647 best=206.647 fresh=False
hop 2: m17 t=207.449 -> 206.647 best=206.647 fresh=True
hop 2: m17 t=207.450 -> 206.647 best=206.647 fresh=True
hop 2: m17 t=207.451 -> 204.657 best=206.647 fresh=True
hop 3: m11 t=205.461 -> 204.657 best=204.657 fresh=True
hop 3: m17 t=205.462 -> 204.657 best=204.657 fresh=True
hop 3: m17 t=205.463 -> 204.657 best=204.657 fresh=True
hop 3: m17 t=205.464 -> 204.657 best=204.657 fresh=True
hop 3: m17 t=205.465 -> 204.657 best=204.657 fresh=True
hop 3: m17 t=205.466 -> 201.954 best=204.657 fresh=True
hop 4: m11 t=202.763 -> 201.954 best=201.954 fresh=True
hop 4: m17 t=202.764 -> 201.954 best=201.954 fresh=True
hop 4: m17 t=202.765 -> 201.954 best=201.954 fresh=True
hop 4: m17 t=202.766 -> 201.954 best=201.954 fresh=True
hop 4: m17 t=202.767 -> 201.954 best=201.954 fresh=True
hop 4: m17 t=202.768 -> 201.113 best=201.954 fresh=True
hop 5: m11 t=201.927 -> 201.112 best=201.113 fresh=True
hop 6: m11 t=201.926 -> 201.112 best=201.112 fresh=False
hop 6: m17 t=201.927 -> 200.934 best=201.112 fresh=True
hop 7: m11 t=201.749 -> 200.932 best=200.934 fresh=True
hop 8: m11 t=201.747 -> 200.932 best=200.932 fresh=False
hop 8: m17 t=201.748 -> 200.483 best=200.932 fresh=True
hop 9: m11 t=201.299 -> 200.483 best=200.483 fresh=False
hop 9: m17 t=201.300 -> 200.483 best=200.483 fresh=True
hop 9: m17 t=201.301 -> 197.017 best=200.483 fresh=True
hop 10: m11 t=197.835 -> 197.017 best=197.017 fresh=False
hop 10: m17 t=197.836 -> 197.017 best=197.017 fresh=True
hop 10: m17 t=197.837 -> 197.017 best=197.017 fresh=True
hop 10: m17 t=197.838 -> 197.017 best=197.017 fresh=True
hop 10: m17 t=197.839 -> 197.017 best=197.017 fresh=True
hop 10: m17 t=197.840 -> 197.017 best=197.017 fresh=True
hop 10: m17 t=197.841 -> 197.017 best=197.017 fresh=True
hop 10: m17 t=197.842 -> 197.017 best=197.017 fresh=True
hop 10: m17 t=197.843 -> 197.017 best=197.017 fresh=True
hop 10: m17 t=197.844 -> 197.017 best=197.017 fresh=True
CONSTRUCTED START: 209.910 BEST: 197.017 YIELD: 12.893
