hop 0: m11 t=196.445 -> 195.590 best=195.645 fresh=True
hop 1: m11 t=196.390 -> 195.590 best=195.590 fresh=False
hop 1: m17 t=196.391 -> 195.260 best=195.590 fresh=True
hop 2: m11 t=196.061 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.062 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.063 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.064 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.065 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.066 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.067 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.068 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.069 -> 195.260 best=195.260 fresh=True
hop 2: m17 t=196.070 -> 195.260 best=195.260 fresh=True
CONSTRUCTED START: 195.645 BEST: 195.260 YIELD: 0.385
