epoch	load1	load5	load15	benchmarks
1787302770	7.63	6.87	6.40	0
1787302775	7.90	6.94	6.43	2
1787302780	7.67	6.91	6.42	2
1787302785	7.94	6.98	6.45	2
1787302790	8.26	7.06	6.48	2
1787302795	9.12	7.26	6.54	2
1787302800	8.95	7.26	6.55	2
1787302805	8.47	7.19	6.53	2
1787302810	7.96	7.10	6.50	3
1787302815	7.40	7.00	6.47	0
1787302820	6.89	6.90	6.44	0
1787302825	6.41	6.80	6.41	0
1787302830	6.38	6.79	6.41	0
1787302835	7.31	6.97	6.47	0
1787302840	6.97	6.91	6.46	0
1787302845	6.81	6.87	6.45	0
1787302850	6.66	6.84	6.44	4
1787302855	6.85	6.88	6.45	4
1787302860	6.86	6.88	6.46	4
1787302865	6.79	6.87	6.45	4
1787302870	6.41	6.79	6.43	0
1787302875	6.38	6.77	6.43	3
1787302880	6.35	6.76	6.43	3
1787302885	7.20	6.93	6.48	3
1787302890	7.02	6.90	6.47	3
1787302895	9.34	7.38	6.63	3
1787302900	11.88	7.94	6.82	0
1787302905	11.57	7.94	6.82	0
1787302910	11.52	7.99	6.85	0
1787302915	12.92	8.34	6.97	0
1787302920	12.21	8.27	6.95	0
1787302925	11.39	8.16	6.92	0
1787302930	10.72	8.08	6.90	0
1787302935	10.02	7.98	6.88	0
1787302940	9.38	7.88	6.85	0
1787302945	10.07	8.05	6.91	0
1787302950	10.30	8.13	6.94	0
1787302955	11.40	8.39	7.03	0
1787302960	11.45	8.45	7.06	0
1787302965	11.41	8.50	7.08	0
1787302971	12.58	8.79	7.18	0
1787302976	11.97	8.72	7.17	0
1787302981	11.49	8.68	7.17	0
1787302986	11.37	8.70	7.18	0
1787302991	11.26	8.72	7.20	0
1787302996	11.56	8.83	7.24	0
1787303001	14.16	9.41	7.44	0
1787303006	13.83	9.42	7.45	0
1787303011	13.84	9.50	7.49	0
1787303016	18.42	10.52	7.83	0
1787303021	21.19	11.22	8.07	0
1787303026	24.54	12.08	8.37	0
1787303031	28.98	13.21	8.75	0
1787303036	30.66	13.82	8.97	0
1787303041	33.01	14.59	9.25	0
1787303046	31.65	14.61	9.28	0
1787303051	30.72	14.70	9.34	0
1787303056	30.02	14.82	9.41	0
1787303061	28.33	14.73	9.41	0
1787303066	27.03	14.68	9.42	0
1787303071	26.06	14.69	9.45	0
1787303076	27.50	15.17	9.64	0
1787303081	26.66	15.20	9.68	0
1787303086	25.64	15.18	9.70	0
1787303091	24.47	15.12	9.71	0
1787303096	22.91	14.95	9.68	3
1787303101	21.40	14.77	9.65	3
1787303106	20.24	14.64	9.64	0
1787303111	18.86	14.44	9.60	0
1787303116	17.51	14.24	9.56	0
1787303121	16.91	14.16	9.56	0
1787303126	20.20	14.89	9.82	4
1787303131	20.02	14.94	9.87	0
1787303136	19.38	14.89	9.88	0
1787303141	18.15	14.71	9.85	0
1787303146	16.94	14.52	9.81	0
1787303151	15.82	14.33	9.77	0
1787303156	15.03	14.19	9.75	0
1787303161	14.31	14.05	9.73	0
1787303166	13.40	13.87	9.69	0
1787303171	12.73	13.72	9.67	0
1787303176	11.95	13.54	9.63	0
1787303182	11.47	13.42	9.61	0
1787303187	10.88	13.26	9.58	0
1787303192	10.81	13.21	9.59	0
1787303197	10.74	13.15	9.59	0
1787303202	10.52	13.07	9.58	0
1787303207	9.92	12.90	9.54	0
1787303212	9.36	12.74	9.51	0
1787303217	9.58	12.72	9.52	0
1787303222	9.61	12.68	9.53	0
1787303227	9.32	12.57	9.51	0
1787303232	8.89	12.42	9.48	0
1787303237	8.98	12.38	9.48	0
1787303242	9.06	12.34	9.48	0
1787303247	9.70	12.42	9.52	0
1787303252	10.29	12.50	9.56	0
1787303257	10.26	12.45	9.57	0
1787303262	10.48	12.46	9.58	0
1787303267	10.68	12.47	9.60	3
1787303272	10.47	12.40	9.59	0
1787303277	14.03	13.11	9.84	0
1787303282	14.43	13.20	9.89	0
1787303287	13.68	13.07	9.86	0
1787303292	13.22	12.98	9.85	0
1787303297	12.48	12.83	9.82	0
1787303302	12.44	12.82	9.83	1
1787303307	11.85	12.69	9.80	1
1787303312	11.22	12.55	9.77	1
1787303317	10.64	12.40	9.74	1
1787303322	10.67	12.38	9.75	1
1787303327	10.30	12.27	9.73	1
1787303332	9.95	12.17	9.71	1
1787303337	9.55	12.05	9.68	2
1787303342	9.19	11.93	9.66	2
1787303347	8.85	11.82	9.63	2
1787303352	8.54	11.70	9.61	2
1787303357	8.34	11.61	9.59	2
1787303362	7.99	11.48	9.56	1
1787303367	7.67	11.36	9.53	1
1787303372	7.78	11.32	9.52	1
1787303377	7.40	11.18	9.49	1
1787303382	7.04	11.05	9.45	1
1787303387	7.28	11.03	9.46	1
1787303392	6.86	10.88	9.42	1
1787303397	7.11	10.86	9.42	2
1787303402	7.34	10.85	9.42	2
1787303407	7.63	10.85	9.43	2
1787303412	7.26	10.72	9.40	2
1787303417	6.84	10.58	9.36	2
1787303422	6.53	10.45	9.32	1
1787303427	6.73	10.43	9.32	1
1787303432	6.27	10.27	9.28	1
1787303437	6.65	10.28	9.29	1
1787303442	6.28	10.14	9.25	1
1787303447	5.94	10.01	9.21	1
1787303452	5.94	9.94	9.19	1
1787303457	5.95	9.88	9.17	1
1787303462	6.19	9.86	9.17	2
1787303467	6.42	9.85	9.17	2
1787303472	6.22	9.75	9.14	2
1787303477	6.20	9.69	9.12	2
1787303482	6.91	9.77	9.16	0
1787303487	8.04	9.96	9.22	0
1787303492	8.43	10.01	9.24	0
1787303497	8.16	9.93	9.22	0
1787303502	8.63	10.00	9.24	0
1787303508	11.54	10.58	9.44	0
1787303513	12.06	10.70	9.48	0
1787303518	12.21	10.76	9.51	0
1787303523	13.56	11.06	9.61	0
1787303528	12.87	10.96	9.59	0
1787303533	12.16	10.84	9.56	0
1787303538	12.23	10.88	9.58	0
1787303543	12.61	10.98	9.62	0
1787303548	11.84	10.85	9.58	0
1787303553	11.21	10.73	9.55	0
1787303558	10.64	10.62	9.52	0
1787303563	10.50	10.60	9.52	0
1787303568	9.98	10.49	9.49	0
1787303573	9.82	10.44	9.48	0
1787303578	9.92	10.45	9.49	0
1787303583	10.33	10.53	9.52	0
1787303588	9.82	10.42	9.49	0
1787303593	10.79	10.61	9.55	0
1787303598	10.81	10.62	9.56	0
1787303603	11.07	10.68	9.59	0
1787303608	11.62	10.80	9.63	0
1787303613	12.05	10.90	9.67	0
1787303618	12.13	10.94	9.69	0
1787303623	12.92	11.12	9.76	0
1787303628	13.25	11.22	9.79	0
1787303633	13.47	11.30	9.83	0
1787303638	13.75	11.39	9.87	0
1787303643	13.45	11.37	9.87	0
1787303648	13.33	11.38	9.88	0
1787303653	13.07	11.36	9.88	0
1787303658	13.06	11.38	9.90	0
1787303663	12.41	11.28	9.87	0
1787303668	11.82	11.17	9.85	0
1787303673	11.67	11.15	9.85	0
1787303678	11.70	11.17	9.86	0
1787303683	11.32	11.10	9.84	0
1787303688	10.74	10.98	9.81	0
1787303693	10.60	10.95	9.81	0
1787303698	11.75	11.18	9.89	0
1787303703	11.77	11.19	9.90	0
1787303708	11.23	11.09	9.87	0
1787303713	11.85	11.22	9.92	0
1787303718	11.86	11.24	9.93	0
1787303723	11.55	11.18	9.92	0
1787303728	11.75	11.23	9.95	0
1787303733	11.13	11.11	9.91	0
1787303738	11.28	11.14	9.93	0
1787303743	12.14	11.32	9.99	0
1787303748	12.69	11.45	10.04	0
1787303753	11.99	11.32	10.01	0
1787303758	12.39	11.42	10.05	0
1787303763	13.00	11.56	10.10	0
1787303768	13.00	11.59	10.12	0
1787303773	14.12	11.84	10.21	0
1787303778	14.27	11.91	10.24	0
1787303783	13.77	11.85	10.23	0
1787303788	13.15	11.75	10.20	0
1787303793	12.34	11.60	10.17	0
1787303798	12.55	11.66	10.19	0
1787303803	12.59	11.68	10.21	0
1787303808	12.14	11.60	10.19	0
1787303813	11.57	11.49	10.16	0
1787303819	12.24	11.64	10.21	0
1787303824	12.70	11.74	10.26	0
1787303829	12.33	11.68	10.24	0
1787303834	11.90	11.60	10.23	0
1787303839	12.15	11.66	10.25	0
1787303844	11.58	11.55	10.22	0
1787303849	11.37	11.50	10.22	0
1787303854	11.02	11.43	10.20	0
1787303859	10.78	11.37	10.19	0
