hop 0: m11 t=200.736 -> 199.861 best=199.936 fresh=True
hop 1: m11 t=200.661 -> 199.861 best=199.861 fresh=False
hop 1: m17 t=200.662 -> 197.614 best=199.861 fresh=True
hop 2: m11 t=198.415 -> 197.614 best=197.614 fresh=True
hop 2: m17 t=198.416 -> 194.641 best=197.614 fresh=True
hop 3: m11 t=195.443 -> 194.641 best=194.641 fresh=False
hop 3: m17 t=195.444 -> 194.641 best=194.641 fresh=False
hop 3: m17 t=195.445 -> 194.641 best=194.641 fresh=True
hop 3: m17 t=195.446 -> 194.641 best=194.641 fresh=True
hop 3: m17 t=195.447 -> 194.641 best=194.641 fresh=False
hop 3: m17 t=195.448 -> 194.641 best=194.641 fresh=True
hop 3: m17 t=195.449 -> 194.641 best=194.641 fresh=True
hop 3: m17 t=195.450 -> 190.010 best=194.641 fresh=True
hop 4: m11 t=190.819 -> 190.010 best=190.010 fresh=False
hop 4: m17 t=190.820 -> 190.010 best=190.010 fresh=False
hop 4: m17 t=190.821 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.822 -> 190.010 best=190.010 fresh=False
hop 4: m17 t=190.823 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.824 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.825 -> 190.010 best=190.010 fresh=False
hop 4: m17 t=190.826 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.827 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.828 -> 190.010 best=190.010 fresh=False
CONSTRUCTED START: 199.936 BEST: 190.010 YIELD: 9.926
