hop 0: m11 t=204.235 -> 203.227 best=203.435 fresh=True
hop 1: m11 t=204.027 -> 203.227 best=203.227 fresh=False
hop 1: m17 t=204.028 -> 201.990 best=203.227 fresh=True
hop 2: m11 t=202.791 -> 201.990 best=201.990 fresh=False
hop 2: m17 t=202.792 -> 198.680 best=201.990 fresh=True
hop 3: m11 t=199.482 -> 197.444 best=198.680 fresh=True
hop 4: m11 t=198.246 -> 197.444 best=197.444 fresh=True
hop 4: m17 t=198.247 -> 191.653 best=197.444 fresh=True
hop 5: m11 t=192.456 -> 191.653 best=191.653 fresh=False
hop 5: m17 t=192.457 -> 191.653 best=191.653 fresh=True
hop 5: m17 t=192.458 -> 191.653 best=191.653 fresh=False
hop 5: m17 t=192.459 -> 191.653 best=191.653 fresh=False
hop 5: m17 t=192.460 -> 191.653 best=191.653 fresh=True
hop 5: m17 t=192.461 -> 191.653 best=191.653 fresh=True
hop 5: m17 t=192.462 -> 191.653 best=191.653 fresh=True
hop 5: m17 t=192.463 -> 191.653 best=191.653 fresh=True
hop 5: m17 t=192.464 -> 191.653 best=191.653 fresh=False
hop 5: m17 t=192.465 -> 191.653 best=191.653 fresh=True
CONSTRUCTED START: 203.435 BEST: 191.653 YIELD: 11.782
