hop 0: m11 t=208.241 -> 207.342 best=207.441 fresh=True
hop 1: m11 t=208.142 -> 207.342 best=207.342 fresh=False
hop 1: m17 t=208.143 -> 207.342 best=207.342 fresh=True
hop 1: m17 t=208.144 -> 191.243 best=207.342 fresh=True
hop 2: m11 t=192.045 -> 191.243 best=191.243 fresh=False
hop 2: m17 t=192.046 -> 191.243 best=191.243 fresh=True
hop 2: m17 t=192.047 -> 191.243 best=191.243 fresh=True
hop 2: m17 t=192.048 -> 186.936 best=191.243 fresh=True
hop 3: m11 t=187.741 -> 186.936 best=186.936 fresh=False
hop 3: m17 t=187.742 -> 186.936 best=186.936 fresh=False
hop 3: m17 t=187.743 -> 186.936 best=186.936 fresh=False
hop 3: m17 t=187.744 -> 186.936 best=186.936 fresh=False
hop 3: m17 t=187.745 -> 186.936 best=186.936 fresh=True
hop 3: m17 t=187.746 -> 186.936 best=186.936 fresh=True
hop 3: m17 t=187.747 -> 186.936 best=186.936 fresh=False
hop 3: m17 t=187.748 -> 186.936 best=186.936 fresh=False
hop 3: m17 t=187.749 -> 186.936 best=186.936 fresh=False
hop 3: m17 t=187.750 -> 186.936 best=186.936 fresh=True
CONSTRUCTED START: 207.441 BEST: 186.936 YIELD: 20.505
