hop 0: m11 t=204.031 -> 203.149 best=203.231 fresh=True
hop 1: m11 t=203.949 -> 203.149 best=203.149 fresh=False
hop 1: m17 t=203.950 -> 194.010 best=203.149 fresh=True
hop 2: m11 t=194.811 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.812 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.813 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.814 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.815 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.816 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.817 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.818 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.819 -> 194.010 best=194.010 fresh=True
hop 2: m17 t=194.820 -> 194.010 best=194.010 fresh=True
CONSTRUCTED START: 203.231 BEST: 194.010 YIELD: 9.221
